場所,座標,Error or Ok
"霊山寺,徳島県","[34.077257849999995, 134.5224796140373]","<[OK] Osm - Geocode [鈴江病院, 国道192号, 佐古八番町, 徳島市, 徳島県, 770-8571, 日本]>"
"極楽寺,徳島県","[36.6936932, 137.3957184]","<[OK] Osm - Geocode [上市北馬場線, 極楽寺, 上市町, 中新川郡, 富山県, 930-0455, 日本]>"
"金泉寺,徳島県","[34.1529667, 134.4902033]","<[OK] Osm - Geocode [金泉寺, 鳴門池田線, 川端, 鳴門市, 板野郡, 徳島県, 779-0225, 日本]>"
"大日寺,徳島県","[34.038105599999994, 134.46258518184646]","<[OK] Osm - Geocode [大日寺, 263, 神山鮎喰線, 一宮町, 徳島市, 徳島県, 770-8571, 日本]>"
"地蔵寺,徳島県","[34.07603225, 134.58524816906916]","<[OK] Osm - Geocode [地蔵寺, 沖ノ洲埠頭線, 金沢一丁目, 徳島市, 徳島県, 770-8571, 日本]>"
"安楽寺,徳島県",,<[ERROR - No results found] Osm - Geocode [empty]>
"十楽寺,徳島県",,<[ERROR - No results found] Osm - Geocode [empty]>
"熊谷寺,徳島県","[36.146302750000004, 139.3834687194688]","<[OK] Osm - Geocode [熊谷寺, 中山道, 仲町, 熊谷市, 埼玉県, 360-0044, 日本]>"
"法輪寺,徳島県",,<[ERROR - No results found] Osm - Geocode [empty]>
"切幡寺,徳島県","[34.4006552, 133.2110846]","<[OK] Osm - Geocode [切幡寺, 国道317号, 尾道市, 広島県, 722-0062, 日本]>"
"藤井寺,徳島県","[34.57373475, 133.73728775270988]","<[OK] Osm - Geocode [藤井寺, 水島港線, 水島北瑞穂町, 倉敷市, 岡山県, 712-8011, 日本]>"
"焼山寺,徳島県","[33.985057, 134.310411]","<[OK] Osm - Geocode [第12番札所 焼山寺(Shosan-ji), 318, 林道焼山寺名ヶ平線, 下分, 神山町, 名西郡, 徳島県, 771-3421, 日本]>"
"大日寺,徳島県","[34.038105599999994, 134.46258518184646]","<[OK] Osm - Geocode [大日寺, 263, 神山鮎喰線, 一宮町, 徳島市, 徳島県, 770-8571, 日本]>"
"常楽寺,徳島県",,<[ERROR - No results found] Osm - Geocode [empty]>
"国分寺,徳島県","[35.48001445, 135.78861594346432]","<[OK] Osm - Geocode [国分寺, 国道27号, 国分, 小浜市, 福井県, 日本]>"
"観音寺,徳島県","[34.0612512, 134.54505145000002]","<[OK] Osm - Geocode [観音寺, 国道438号, 大道三丁目, 徳島市, 徳島県, 770-8571, 日本]>"
"井戸寺,徳島県","[34.061114, 134.258125]","<[OK] Osm - Geocode [吉野川警察署山川町山崎駐在所, 244, 山川町堤内, 吉野川市, 徳島県, 779-3306, 日本]>"
"恩山寺,徳島県","[33.9860981, 134.5778614]","<[OK] Osm - Geocode [第18番札所 恩山寺 (Onzan-ji), 40, 母養橋, 田野町, 小松島市, 徳島県, 773-0008, 日本]>"
"立江寺,徳島県",,<[ERROR - No results found] Osm - Geocode [empty]>
"鶴林寺,徳島県",,<[ERROR - No results found] Osm - Geocode [empty]>
"太龍寺,徳島県","[34.0720771, 134.55370197224073]","<[OK] Osm - Geocode [太平 ビル, 国道192号, 八百屋町一丁目, 徳島市, 徳島県, 770-8571, 日本]>"
"平等寺,徳島県","[33.851728949999995, 134.58250779182066]","<[OK] Osm - Geocode [平等寺, 阿南市, 徳島県, 日本]>"
"薬王寺,徳島県",,<[ERROR - No results found] Osm - Geocode [empty]>
